Rk,,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
407,Darrius Heyward-Bey,PIT,30,,16,0,3,2,66.70%,47,23.5,0,44,0.1,2.9,0
408,Cole Hikutini,SFO,23,,4,0,3,2,66.70%,15,7.5,0,10,0.5,3.8,0
409,Brian Hill,2TM,22,,7,0,2,2,100.00%,36,18,0,34,0.3,5.1,0
410,Jeff Janis,GNB,26,,16,0,5,2,40.00%,12,6,0,12,0.1,0.8,0
411,Zach Line,NOR,27,fb,12,4,5,2,40.00%,8,4,1,5,0.2,0.7,0
412,Tre Madden,SEA,24,fb,8,3,2,2,100.00%,65,32.5,0,66,0.3,8.1,0
413,Chris Manhertz,CAR,25,te,16,4,4,2,50.00%,17,8.5,0,11,0.1,1.1,0
414,Marcus Murphy,BUF,26,,1,0,2,2,100.00%,7,3.5,0,5,2,7,0
415,Jojo Natson,NYJ,23,,7,0,5,2,40.00%,18,9,0,19,0.3,2.6,1
416,Roosevelt Nix*,PIT,25,fb/rb,16,4,3,2,66.70%,6,3,1,5,0.1,0.4,0
417,Darius Powe,NYG,23,wr,1,1,4,2,50.00%,13,6.5,0,8,2,13,0
418,Bernard Reedy,2TM,26,,11,0,2,2,100.00%,21,10.5,0,15,0.2,1.9,1
419,Jeremy Sprinkle,WAS,23,te/wr,11,5,3,2,66.70%,13,6.5,1,7,0.2,1.2,0
420,Geoff Swaim,DAL,24,te,15,2,2,2,100.00%,25,12.5,0,18,0.1,1.7,0
421,Fitzgerald Toussaint,PIT,27,,6,0,3,2,66.70%,9,4.5,0,7,0.3,1.5,0
422,Dwayne Washington,DET,23,,5,0,2,2,100.00%,14,7,0,10,0.4,2.8,0
423,Derek Watt,LAC,25,fb,16,4,3,2,66.70%,35,17.5,0,23,0.1,2.2,0
424,Terrance West,BAL,26,rb,5,4,4,2,50.00%,23,11.5,0,15,0.4,4.6,1
425,Kevin White,CHI,25,wr,1,1,4,2,50.00%,6,3,0,6,2,6,0
426,Cameron Artis-Payne,CAR,27,,13,0,1,1,100.00%,2,2,0,2,0.1,0.2,0
427,Nick Bellore,DET,28,mlb,13,2,1,1,100.00%,1,1,1,1,0.1,0.1,0
428,Arrelious Benn,JAX,29,,9,0,2,1,50.00%,12,12,0,12,0.1,1.3,0
429,Brandon Bolden,NWE,27,,16,0,4,1,25.00%,7,7,0,7,0.1,0.4,0
430,Mack Brown,2TM,26,,4,0,1,1,100.00%,11,11,0,11,0.3,2.8,0
431,Harry Douglas,TEN,33,,2,0,3,1,33.30%,8,8,0,8,0.5,4,0
432,Lance Dunbar,LAR,27,,4,0,3,1,33.30%,1,1,0,1,0.3,0.3,0
433,Jimmy Garoppolo,SFO,26,qb,6,5,1,1,100.00%,-6,-6,0,-6,0.2,-1,1
434,Mike Gillislee,NWE,27,rb,9,2,1,1,100.00%,15,15,0,15,0.1,1.7,1
435,MarQueis Gray,MIA,28,,16,0,3,1,33.30%,10,10,0,10,0.1,0.6,0
436,Garrett Griffin,NOR,23,,3,0,1,1,100.00%,4,4,0,4,0.3,1.3,0
437,Cobi Hamilton,HOU,27,wr,3,1,6,1,16.70%,8,8,0,8,0.3,2.7,0
438,Matt Hazel,IND,25,,4,0,1,1,100.00%,1,1,0,1,0.3,0.3,0
439,Brett Hundley,GNB,24,QB,11,9,1,1,100.00%,10,10,0,10,0.1,0.9,4
440,Taiwan Jones,BUF,29,,8,0,2,1,50.00%,11,11,0,11,0.1,1.4,0
441,Joe Kerridge,GNB,25,,4,0,1,1,100.00%,3,3,0,3,0.3,0.8,0
442,Jordan Leslie,CLE,26,,2,0,1,1,100.00%,26,26,0,26,0.5,13,0
443,Ryan Malleck,HOU,24,,2,0,1,1,100.00%,3,3,0,3,0.5,1.5,0
444,Max McCaffrey,JAX,23,,5,0,1,1,100.00%,4,4,0,4,0.2,0.8,0
445,Brian Mihalik,DET,25,lt,15,2,1,1,100.00%,-4,-4,0,-4,0.1,-0.3,0
446,Ifeanyi Momah,ARI,28,te,9,2,2,1,50.00%,46,46,0,46,0.1,5.1,0
447,Charone Peake,NYJ,25,,3,0,1,1,100.00%,3,3,0,3,0.3,1,0
448,Senorise Perry,MIA,26,,16,0,1,1,100.00%,3,3,0,3,0.1,0.2,0
449,Larry Pinkard,JAX,25,,4,0,1,1,100.00%,5,5,0,5,0.3,1.3,0
450,Kalif Raymond,2TM,23,,8,0,1,1,100.00%,12,12,0,12,0.1,1.5,5
451,Andre Roberts,ATL,29,,16,0,4,1,25.00%,12,12,0,12,0.1,0.8,4
452,Allen Robinson,JAX,24,wr,1,1,1,1,100.00%,17,17,0,17,1,17,0
453,Eric Weems,TEN,32,,16,0,2,1,50.00%,5,5,0,5,0.1,0.3,0
454,Leonard Wester,TAM,24,,8,0,1,1,100.00%,2,2,1,2,0.1,0.3,0
455,DeAndrew White,HOU,26,wr,2,1,7,1,14.30%,24,24,0,24,0.5,12,1
456,Marcus Williams,2TM,26,,15,0,1,1,100.00%,31,31,0,31,0.1,2.1,0
457,Jesus Wilson,TAM,22,wr,3,1,1,1,100.00%,18,18,1,18,0.3,6,0
458,Kevin Zeitler,CLE,27,RG,16,16,1,1,100.00%,-4,-4,0,-4,0.1,-0.3,0
